point,lat,lon,year,var,scen,score
81,37.3958328,-122.0208352,2040,tasmin,rcp60,1.00430510347	

82,37.3958328,-122.0208352,2040,pr,rcp85,1.19449718247	

83,37.3958328,-122.0208352,2040,tasmax,rcp85,1.0040859374	

84,37.3958328,-122.0208352,2040,tasmin,rcp85,1.00508345582	

85,37.56249946,-122.520835,2040,pr,rcp26,1.59164336694	

86,37.56249946,-122.520835,2040,tasmax,rcp26,0.996862286795	

87,37.56249946,-122.520835,2040,tasmin,rcp26,1.00352915941	

88,37.56249946,-122.520835,2040,pr,rcp45,1.54401692363	

89,37.56249946,-122.520835,2040,tasmax,rcp45,0.9962589861	

90,37.56249946,-122.520835,2040,tasmin,rcp45,1.00303919668	

91,37.56249946,-122.520835,2040,pr,rcp60,1.48542572333	

92,37.56249946,-122.520835,2040,tasmax,rcp60,0.996676318381	

93,37.56249946,-122.520835,2040,tasmin,rcp60,1.0032707423	

94,37.56249946,-122.520835,2040,pr,rcp85,1.63060018789	

95,37.56249946,-122.520835,2040,tasmax,rcp85,0.997223760507	

96,37.56249946,-122.520835,2040,tasmin,rcp85,1.0040230918	

97,37.56249946,-122.3541684,2040,pr,rcp26,1.53495701871	

98,37.56249946,-122.3541684,2040,tasmax,rcp26,1.00235064647	

99,37.56249946,-122.3541684,2040,tasmin,rcp26,1.00368417946	

100,37.56249946,-122.3541684,2040,pr,rcp45,1.48232984106	

101,37.56249946,-122.3541684,2040,tasmax,rcp45,1.00174939016	

102,37.56249946,-122.3541684,2040,tasmin,rcp45,1.00320412499	

103,37.56249946,-122.3541684,2040,pr,rcp60,1.42929225387	

104,37.56249946,-122.3541684,2040,tasmax,rcp60,1.00219178028	

105,37.56249946,-122.3541684,2040,tasmin,rcp60,1.00344234579	

106,37.56249946,-122.3541684,2040,pr,rcp85,1.56648139324	

107,37.56249946,-122.3541684,2040,tasmax,rcp85,1.0027315285	

108,37.56249946,-122.3541684,2040,tasmin,rcp85,1.00419739752	

109,37.56249946,-122.1875018,2040,pr,rcp26,1.31724206194	

110,37.56249946,-122.1875018,2040,tasmax,rcp26,1.00306465162	

111,37.56249946,-122.1875018,2040,tasmin,rcp26,1.00441989332	

112,37.56249946,-122.1875018,2040,pr,rcp45,1.27509548694	

113,37.56249946,-122.1875018,2040,tasmax,rcp45,1.00246213986	

114,37.56249946,-122.1875018,2040,tasmin,rcp45,1.00395128749	

115,37.56249946,-122.1875018,2040,pr,rcp60,1.22766596159	

116,37.56249946,-122.1875018,2040,tasmax,rcp60,1.00293542343	

117,37.56249946,-122.1875018,2040,tasmin,rcp60,1.00419681328	

118,37.56249946,-122.1875018,2040,pr,rcp85,1.34277067356	

119,37.56249946,-122.1875018,2040,tasmax,rcp85,1.00346933803	

120,37.56249946,-122.1875018,2040,tasmin,rcp85,1.00495470813	

121,37.56249946,-122.0208352,2040,pr,rcp26,1.24870553655	

122,37.56249946,-122.0208352,2040,tasmax,rcp26,1.00391102908	

123,37.56249946,-122.0208352,2040,tasmin,rcp26,1.00418955493	

124,37.56249946,-122.0208352,2040,pr,rcp45,1.20574280325	

125,37.56249946,-122.0208352,2040,tasmax,rcp45,1.00330735622	

126,37.56249946,-122.0208352,2040,tasmin,rcp45,1.00373197228	

127,37.56249946,-122.0208352,2040,pr,rcp60,1.16259293832	

128,37.56249946,-122.0208352,2040,tasmax,rcp60,1.00381141803	

129,37.56249946,-122.0208352,2040,tasmin,rcp60,1.00398501271	

